step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,router_type_Dense,router_type_Hash,router_type_RL-R,router_type_S-Base,loss
220000,2,896,12,16,64,1.0,1,42,0.5,170709504.0,132163584.0,248454194397184.0,130000000000,0,1,0,0,2.6475023883458166
230000,2,896,12,16,64,1.0,1,42,0.5,170709504.0,132163584.0,248454194397184.0,130000000000,0,1,0,0,2.6438202732393523
240000,2,896,12,16,64,1.0,1,42,0.5,170709504.0,132163584.0,248454194397184.0,130000000000,0,1,0,0,2.6399238168835195
249000,2,896,12,16,64,1.0,1,42,0.5,170709504.0,132163584.0,248454194397184.0,130000000000,0,1,0,0,2.639140522083739
0,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,10.745672746259308
10000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.9050863207985183
20000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.7701149278302486
30000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.707793561932522
40000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.6731085442186293
50000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.6478922651433714
60000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.629734934928397
70000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.611945250614989
80000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.5979802640794363
90000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.58852278843899
100000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.576755316135145
110000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.5648323751095807
120000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.5563029410098257
130000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.545474674878065
140000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.5356630295871585
150000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.5254602287303443
160000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.5159758005876824
170000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.5079326919293585
180000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.498336863389767
190000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.490314411758688
200000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.482308289015813
210000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.475171532019573
220000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.469479193061757
230000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.4636882905739426
240000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.4600220125217
249000,16,896,12,16,64,1.0,1,42,0.5,710879904.0,132163584.0,249165179256832.0,130000000000,0,0,1,0,2.458229031740211
0,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,10.760951937786542
10000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.8921232000843595
20000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.759013349554674
30000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.6997340752025965
40000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.663461983003792
50000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.6374931487526303
60000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.6180325814437726
70000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.602877258304912
80000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.587833974947157
90000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.575362147197648
100000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.5655603385863825
110000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.554033864933732
120000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.543578556510544
130000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.533781862972692
140000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.5237053158990648
150000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.515932961847848
160000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.5059756353314646
170000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.496779323535476
180000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.487636129809546
190000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.4795048353182443
200000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.47091928296114
210000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.4648480842869667
220000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.459585263945657
230000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.4534529794909163
240000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.44924735629398
249000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,0,0,1,2.4474075037340035
0,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,10.765421725015226
10000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.9553416219819097
20000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.822528101426397
30000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.763334701287582
40000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.727787941253775
50000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.7018085325720005
60000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.6817097368963623
70000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.666404945410363
80000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.6528308193403287
90000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.6400758427673647
100000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.629416521608431
110000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.618137342081945
120000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.6077493165474985
130000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.597127079670809
140000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.5879331286779346
150000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.5775139208690274
160000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.5675331338717013
170000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.558954516373744
180000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.5505963880499296
190000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.542117612850324
200000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.534825780599549
210000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.527587804169808
220000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.5206040567253774
230000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.5162466535615864
240000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.513116179449366
249000,16,896,12,16,64,1.0,1,42,0.5,710277120.0,132163584.0,248533114421248.0,130000000000,0,1,0,0,2.510840365247719
